0,9,600,2
1,9,900,9
2,9,300,3
3,9,600,3
4,9,900,8
5,9,300,2
6,9,600,1
7,9,600,4
8,9,300,8
11,12,900,4
13,14,300,7
16,26,300,6
17,26,300,3
18,26,300,2
19,26,900,7
20,26,300,6
21,26,900,5
22,26,900,10
23,26,300,1
24,26,600,7
25,26,900,10
28,30,900,3
29,30,300,9
34,43,300,5
35,43,900,1
36,43,600,8
37,43,900,4
38,43,300,1
39,43,300,1
40,43,300,3
41,43,900,7
42,43,900,4
44,45,600,6
46,48,300,6
47,48,900,1
49,52,900,2
50,52,300,7
51,52,900,2
53,56,600,7
54,56,300,2
55,56,300,4
57,59,900,6
58,59,300,7
60,62,300,3
61,62,600,6
63,74,300,6
64,74,600,3
65,74,300,3
66,74,900,5
67,74,600,7
68,74,900,5
69,74,600,3
70,74,300,3
71,74,300,9
72,74,300,9
73,74,300,8
75,98,900,7
76,98,300,4
77,98,900,5
78,98,600,5
79,98,900,6
80,98,300,9
81,98,600,3
82,98,900,2
83,98,600,4
84,98,600,2
85,98,300,2
86,98,900,2
87,98,300,3
88,98,300,5
89,98,300,1
90,98,600,2
91,98,600,1
92,98,300,2
93,98,300,1
94,98,900,7
95,98,600,3
96,98,300,10
97,98,300,6
99,110,900,6
100,110,600,8
101,110,900,7
102,110,300,6
103,110,300,6
104,110,600,8
105,110,600,6
106,110,600,2
107,110,900,1
108,110,300,9
109,110,600,7
111,119,900,1
112,119,600,4
113,119,900,1
114,119,600,7
115,119,300,8
116,119,300,1
117,119,900,3
118,119,900,3
120,122,600,7
121,122,600,9
123,130,900,6
124,130,600,3
125,130,300,6
126,130,600,5
127,130,600,5
128,130,900,10
129,130,900,3
131,138,900,1
132,138,300,3
133,138,300,6
134,138,300,7
135,138,300,8
136,138,900,2
137,138,900,1
139,140,600,7
141,148,900,3
142,148,900,5
143,148,600,2
144,148,600,9
145,148,300,7
146,148,300,5
147,148,900,2
149,150,300,6
151,152,300,3
153,163,300,7
154,163,900,3
155,163,600,5
156,163,300,10
157,163,900,5
158,163,900,3
159,163,600,3
160,163,600,6
161,163,900,1
162,163,900,6
164,175,900,3
165,175,300,6
166,175,600,3
167,175,600,1
168,175,300,2
169,175,300,8
170,175,900,10
171,175,600,7
172,175,300,5
173,175,300,6
174,175,300,2
177,183,900,6
178,183,300,7
179,183,900,2
180,183,600,10
181,183,900,9
182,183,600,5
184,187,300,9
185,187,300,1
186,187,300,4
188,204,300,8
189,204,900,5
190,204,900,10
191,204,900,1
192,204,600,3
193,204,300,7
194,204,900,2
195,204,600,1
196,204,300,1
197,204,300,1
198,204,600,5
199,204,900,9
200,204,900,3
201,204,600,6
202,204,600,9
203,204,300,1
205,214,600,10
206,214,600,10
207,214,600,8
208,214,900,6
209,214,300,1
210,214,600,4
211,214,900,1
212,214,600,9
213,214,300,7
215,217,900,9
216,217,300,7
219,223,600,6
220,223,900,2
221,223,300,6
222,223,300,3
224,226,300,4
225,226,300,6
227,230,300,3
228,230,600,6
229,230,900,1
231,242,900,2
232,242,600,3
233,242,300,10
234,242,300,9
235,242,900,9
236,242,900,1
237,242,900,7
238,242,300,3
239,242,600,5
240,242,600,3
241,242,900,9
243,248,600,4
244,248,900,9
245,248,600,2
246,248,900,3
247,248,300,2
249,251,600,10
250,251,300,1
253,257,300,2
254,257,600,5
255,257,300,7
256,257,300,4
258,263,900,5
259,263,300,3
260,263,600,7
261,263,600,4
262,263,900,7
264,272,900,5
265,272,900,8
266,272,900,10
267,272,600,3
268,272,300,3
269,272,300,2
270,272,300,2
271,272,900,7
273,281,900,10
274,281,600,10
275,281,600,2
276,281,300,5
277,281,600,9
278,281,300,6
279,281,600,3
280,281,900,8
282,291,900,2
283,291,900,7
284,291,900,8
285,291,300,7
286,291,300,7
287,291,900,8
288,291,600,7
289,291,300,4
290,291,600,9
292,295,600,2
293,295,300,1
294,295,600,9
9,10,1000,949
9,26,1000,624
9,32,2000,492
9,33,2000,307
9,48,3000,783
9,59,2000,681
9,110,1000,851
9,148,2000,605
9,152,3000,441
9,163,3000,99
9,183,3000,133
9,204,2000,552
9,223,1000,359
9,226,3000,631
9,257,3000,155
9,263,3000,191
10,30,1000,871
10,32,1000,128
10,138,1000,270
10,148,2000,4
10,163,3000,807
10,183,3000,459
10,218,1000,592
10,242,1000,556
10,251,1000,132
10,272,2000,517
10,295,3000,765
12,14,3000,575
12,27,2000,746
12,48,1000,100
12,52,2000,583
12,122,2000,668
12,183,2000,786
12,230,2000,504
12,248,3000,716
14,27,1000,634
14,48,1000,214
14,59,3000,301
14,110,1000,141
14,138,2000,276
14,140,1000,387
14,150,1000,662
14,152,1000,483
14,187,1000,547
14,251,2000,615
14,263,3000,131
15,27,2000,886
15,32,2000,500
15,43,3000,484
15,48,3000,582
15,59,2000,514
15,62,1000,887
15,119,2000,629
15,130,3000,283
15,148,3000,371
15,175,3000,50
15,230,3000,97
15,251,1000,753
15,252,1000,35
15,263,3000,213
15,272,3000,408
26,31,3000,478
26,33,1000,316
26,119,2000,879
26,152,3000,442
26,214,3000,314
26,218,1000,371
26,226,3000,99
26,242,2000,986
26,252,3000,684
27,31,3000,834
27,32,2000,298
27,33,3000,684
27,48,3000,728
27,52,1000,603
27,130,2000,134
27,150,1000,769
27,152,3000,66
27,163,3000,101
27,204,3000,991
27,242,1000,978
27,248,3000,112
27,251,1000,47
27,252,2000,167
27,257,1000,232
27,263,2000,332
30,32,3000,630
30,33,3000,654
30,45,3000,167
30,48,3000,596
30,175,3000,498
30,183,2000,34
30,204,1000,828
30,218,3000,949
30,230,1000,879
30,251,1000,840
30,291,2000,279
31,52,1000,859
31,62,3000,46
31,130,3000,216
31,148,1000,353
31,152,3000,569
31,204,1000,624
31,214,2000,688
31,217,2000,733
31,242,2000,448
31,251,3000,479
31,257,3000,423
31,263,2000,291
31,272,1000,989
32,33,2000,482
32,74,1000,464
32,130,2000,487
32,148,2000,682
32,150,3000,23
32,183,1000,93
32,217,1000,30
32,218,2000,493
